,time,Z
2794,2.794,0.548735
2795,2.795,0.552524
2796,2.796,0.556308
2797,2.797,0.560075
2798,2.798,0.563839
2799,2.799,0.56762
2800,2.8,0.571365
2801,2.801,0.575091
2802,2.802,0.578856
2803,2.803,0.582596
2804,2.804,0.586346
2805,2.805,0.590098
2806,2.806,0.593837
2807,2.807,0.597552
2808,2.808,0.601283
2809,2.809,0.605007
2810,2.81,0.608819
2811,2.811,0.61247
2812,2.812,0.616169
2813,2.813,0.61976
2814,2.814,0.623529
2815,2.815,0.627241
2816,2.816,0.630909
2817,2.817,0.634592
2818,2.818,0.638389
2819,2.819,0.641991
2820,2.82,0.645653
2821,2.821,0.649307
2822,2.822,0.652979
2823,2.823,0.656531
2824,2.824,0.660337
2825,2.825,0.663817
2826,2.826,0.6675
2827,2.827,0.671155
2828,2.828,0.67478
2829,2.829,0.678384
2830,2.83,0.682127
2831,2.831,0.685659
2832,2.832,0.68925
2833,2.833,0.692826
2834,2.834,0.696424
2835,2.835,0.70003
2836,2.836,0.703578
2837,2.837,0.707054
2838,2.838,0.710713
2839,2.839,0.714296
2840,2.84,0.717843
2841,2.841,0.721379
2842,2.842,0.725072
2843,2.843,0.728496
2844,2.844,0.731904
2845,2.845,0.735521
2846,2.846,0.739034
2847,2.847,0.742545
2848,2.848,0.74607
2849,2.849,0.749567
2850,2.85,0.753052
2851,2.851,0.756532
2852,2.852,0.76001
2853,2.853,0.763459
2854,2.854,0.767021
2855,2.855,0.770275
2856,2.856,0.773896
2857,2.857,0.777242
2858,2.858,0.780741
2859,2.859,0.784133
2860,2.86,0.787542
2861,2.861,0.790932
2862,2.862,0.794183
2863,2.863,0.797595
2864,2.864,0.801006
2865,2.865,0.80437
2866,2.866,0.807734
2867,2.867,0.811116
2868,2.868,0.814381
2869,2.869,0.817692
2870,2.87,0.821051
2871,2.871,0.824354
2872,2.872,0.827577
2873,2.873,0.830771
2874,2.874,0.834237
2875,2.875,0.837398
2876,2.876,0.840829
2877,2.877,0.843934
2878,2.878,0.847246
2879,2.879,0.85043
2880,2.88,0.853857
2881,2.881,0.856891
2882,2.882,0.860103
2883,2.883,0.863293
2884,2.884,0.866482
2885,2.885,0.869671
2886,2.886,0.872836
2887,2.887,0.875932
2888,2.888,0.87911
2889,2.889,0.882346
2890,2.89,0.885381
2891,2.891,0.888459
2892,2.892,0.891605
2893,2.893,0.894625
2894,2.894,0.89773
2895,2.895,0.90086
2896,2.896,0.903783
2897,2.897,0.907113
2898,2.898,0.910154
2899,2.899,0.913166
2900,2.9,0.91608
2901,2.901,0.919101
2902,2.902,0.922155
2903,2.903,0.925144
2904,2.904,0.928118
2905,2.905,0.931156
2906,2.906,0.93409
2907,2.907,0.937014
2908,2.908,0.940035
2909,2.909,0.942951
2910,2.91,0.945917
2911,2.911,0.94885
2912,2.912,0.951708
2913,2.913,0.954614
2914,2.914,0.95753
2915,2.915,0.960431
2916,2.916,0.963288
2917,2.917,0.966126
2918,2.918,0.969011
2919,2.919,0.971794
2920,2.92,0.974658
